Laimjala,607,Saare,commune
Leisi,1782,Saare,commune
L¸manda,744,Saare,commune
Muhu,1483,Saare,commune
Mustjala,612,Saare,commune
Orissaare,1666,Saare,commune
Pihtla,1305,Saare,commune
Pˆide,794,Saare,commune
Ruhnu,55,Saare,commune
Salme,1018,Saare,commune
Torgu,250,Saare,commune
Valjala,1176,Saare,commune
Elva,5607,Tartu,town
Kallaste,852,Tartu,town
Tartu,97603,Tartu,town
Alatskivi,1274,Tartu,commune
Haaslava,2013,Tartu,commune
Kambja,2621,Tartu,commune
Konguta,1314,Tartu,commune
Laeva,797,Tartu,commune
Luunja,4208,Tartu,commune
Meeksi,526,Tartu,commune
M‰ksa,1656,Tartu,commune
Nıo,3972,Tartu,commune
Peipsi‰‰re,698,Tartu,commune
Piirissaare,53,Tartu,commune
Puhja,2192,Tartu,commune
Rannu,1505,Tartu,commune
Rıngu,2885,Tartu,commune
Tartu,6992,Tartu,commune
T‰htvere,3005,Tartu,commune
Vara,1868,Tartu,commune
Vınnu,1141,Tartu,commune
‹lenurme,7751,Tartu,commune
Tırva,2729,Valga,town
Valga,12261,Valga,town
Helme,1901,Valga,commune
Hummuli,823,Valga,commune
Karula,902,Valga,commune
Otep‰‰,3727,Valga,commune
Palupera,1373,Valga,commune
Puka,1527,Valga,commune
Pıdrala,750,Valga,commune
Sangaste,1286,Valga,commune
Taheva,771,Valga,commune
Tılliste,1625,Valga,commune
’ru,448,Valga,commune
Mıisak¸la,825,Viljandi,town
Viljandi,17474,Viljandi,town
Vıhma,1314,Viljandi,town
Abja,2105,Viljandi,commune
Halliste,1374,Viljandi,commune
Karksi,3212,Viljandi,commune
Kolga-Jaani,1309,Viljandi,commune
Kıo,1014,Viljandi,commune
Kıpu,704,Viljandi,commune
Paistu,1399,Viljandi,commune
P‰rsti,3593,Viljandi,commune
Saarepeedi,1288,Viljandi,commune
Suure-Jaani,5202,Viljandi,commune
Tarvastu,3326,Viljandi,commune
Viiratsi,3461,Viljandi,commune
Vıru,12667,Vıru,town
Antsla,3330,Vıru,commune
Haanja,982,Vıru,commune
Lasva,1567,Vıru,commune
Merem‰e,888,Vıru,commune
Misso,576,Vıru,commune
Mıniste,838,Vıru,commune
Rıuge,1913,Vıru,commune
Sımerpalu,1753,Vıru,commune
Urvaste,1161,Vıru,commune
Varstu,1008,Vıru,commune
Vastseliina,1829,Vıru,commune
Vıru,4942,Vıru,commune
